TIMESTAMP,ACP_kW,Irradiance_1_Wm2,Temp_C,WindSpeed_ms
2015-03-01 19:00:00,0.0,-0.3720333333333333,-0.7524333333333334,1.3217166666666669
2015-03-01 20:00:00,0.0,-0.3743999999999999,-0.7975166666666667,1.49575
2015-03-01 21:00:00,0.0,-0.3797666666666667,-0.8498166666666667,1.3561666666666667
2015-03-01 22:00:00,0.0,-0.3791833333333333,-0.7597666666666666,0.8883333333333333
2015-03-01 23:00:00,0.0,-0.3798166666666667,-0.7802833333333333,1.1453666666666666
2015-03-02 00:00:00,0.0,-0.3772,-0.7479166666666667,1.39925
2015-03-02 01:00:00,0.0,-0.3772333333333333,-0.6968333333333334,1.072566666666667
2015-03-02 02:00:00,0.0,-0.37645,-0.7108,1.0215333333333334
2015-03-02 03:00:00,0.0,-0.3785166666666666,-0.8113666666666667,0.8736666666666667
2015-03-02 04:00:00,0.0,-0.3807999999999999,-0.93805,1.2289666666666668
2015-03-02 05:00:00,0.0,-0.3785,-0.77215,1.2357166666666666
2015-03-02 06:00:00,0.001,1.0291833333333331,-0.6108333333333333,1.2789833333333334
2015-03-02 07:00:00,310.347,41.4525,0.9368,1.7491
2015-03-02 08:00:00,1187.38,127.565,2.5355,2.9087166666666664
2015-03-02 09:00:00,4593.75,374.64166666666665,3.141566666666667,4.378783333333333
2015-03-02 10:00:00,8876.4,574.175,3.1369,5.654716666666667
2015-03-02 11:00:00,10666.9,692.0483333333334,2.941583333333333,5.253299999999999
2015-03-02 12:00:00,10920.3,738.8983333333333,3.063816666666667,4.938466666666667
2015-03-02 13:00:00,10324.4,718.8416666666667,3.2756833333333333,4.66055
2015-03-02 14:00:00,8800.9,631.5166666666667,3.488,4.112933333333333
2015-03-02 15:00:00,6345.55,484.25166666666667,3.7830166666666663,3.6689166666666666
2015-03-02 16:00:00,2911.87,282.235,3.5446833333333334,3.6594
2015-03-02 17:00:00,391.398,72.99376666666667,2.721,3.2340166666666668
2015-03-02 18:00:00,0.0,0.2992333333333333,1.6259666666666666,2.0177
2015-03-02 19:00:00,0.0,-0.2778,0.8630333333333333,1.8985333333333332
2015-03-02 20:00:00,0.0,-0.3903999999999999,0.0085166666666666,1.8258666666666667
2015-03-02 21:00:00,0.0,-0.4008333333333333,-0.6292500000000001,1.3803666666666667
2015-03-02 22:00:00,0.0,-0.3561333333333333,-1.2605,1.1480333333333337
2015-03-02 23:00:00,0.0,-0.3555333333333333,-1.8056333333333332,1.1057833333333331
