Hour;PUN;PZ;INC
0;45.16;45.16;120.0
1;35.73;35.73;120.0
2;29.51;29.51;120.0
3;29.51;29.51;120.0
4;31.5;31.5;120.0
5;45.15;45.15;120.0
6;51.85;51.85;120.0
7;58.89;58.89;120.0
8;65.22;65.22;120.0
9;59.43;59.43;120.0
10;57.17;57.17;120.0
11;53.98;53.98;120.0
12;46.16;46.16;120.0
13;41.92146;41.99;120.0
14;48.10617;49.11;120.0
15;49.4665;49.8;120.0
16;50.0;50.0;120.0
17;50.93;50.93;120.0
18;52.02;52.02;120.0
19;56.16;56.16;120.0
20;57.49;57.49;120.0
21;55.0;55.0;120.0
22;46.22229;46.3;120.0
23;42.92;42.92;120.0
