Hour;PUN;PZ;INC
0;48.72923;48.95;120.0
1;45.5;45.5;120.0
2;36.0;36.0;120.0
3;30.0;30.0;120.0
4;35.93;35.93;120.0
5;39.41;39.41;120.0
6;37.98;37.98;120.0
7;42.84;42.84;120.0
8;43.84;43.84;120.0
9;40.85;40.85;120.0
10;40.36;40.36;120.0
11;35.49;35.49;120.0
12;32.51;32.51;120.0
13;28.77;28.77;120.0
14;28.1;28.1;120.0
15;30.0;30.0;120.0
16;34.02;34.02;120.0
17;43.99;43.99;120.0
18;51.0;51.0;120.0
19;56.63;56.63;120.0
20;61.77;61.77;120.0
21;61.1;61.1;120.0
22;56.28;56.28;120.0
23;47.85;47.85;120.0
