Hour;PUN;PZ;INC
0;49.55228;51.49;120.0
1;45.91455;51.02;120.0
2;41.37495;51.02;120.0
3;41.04967;49.78;120.0
4;39.89109;51.02;120.0
5;41.22975;51.02;120.0
6;39.57933;51.02;120.0
7;52.56226;51.49;120.0
8;62.51765;70.07;120.0
9;63.11064;62.3;120.0
10;61.76744;60.0;120.0
11;54.71835;52.6;120.0
12;53.10178;52.02;120.0
13;50.38404;48.17;120.0
14;46.90852;44.47;120.0
15;50.75979;48.28;120.0
16;52.10913;49.49;120.0
17;50.71133;48.45;120.0
18;52.61161;52.49;120.0
19;54.15927;55.2;120.0
20;60.09077;73.0;120.0
21;52.15708;52.87;120.0
22;49.23524;52.49;120.0
23;49.65824;51.0;120.0
