Hour;PUN;PZ;INC
0;55.79876;52.5;120.0
1;47.9137;42.91;120.0
2;45.18411;38.15;120.0
3;43.81516;38.13;120.0
4;43.30611;38.13;120.0
5;44.65834;38.15;120.0
6;56.24465;54.17;120.0
7;65.49909;59.87;120.0
8;69.13995;58.98;120.0
9;66.90598;58.98;120.0
10;66.01476;58.98;120.0
11;64.65774;58.98;120.0
12;63.54363;58.98;120.0
13;64.10604;58.98;120.0
14;64.52989;58.98;120.0
15;65.9875;58.98;120.0
16;67.02;59.09;120.0
17;69.40627;69.12;120.0
18;72.01597;70.0;120.0
19;71.04916;70.0;120.0
20;67.80406;64.0;120.0
21;62.17862;60.87;120.0
22;60.38498;58.98;120.0
23;57.48693;56.83;120.0
