Hour;PUN;PZ;INC
0;35.95077;35.95077;120.0
1;32.12347;32.12347;120.0
2;29.77432;29.77432;120.0
3;28.01;28.01;120.0
4;25.64582;25.64582;120.0
5;29.01;29.01;120.0
6;40.56;40.56;120.0
7;49.91;49.91;120.0
8;60.10519;58.5;120.0
9;59.64145;58.27;120.0
10;54.91851;53.31;120.0
11;51.66284;51.02;120.0
12;50.29967;49.61;120.0
13;49.78817;49.09;120.0
14;51.51908;51.02;120.0
15;54.72477;54.31;120.0
16;58.49225;58.27;120.0
17;57.9727;56.43;120.0
18;53.18887;51.02;120.0
19;60.78802;58.5;120.0
20;64.87476;67.15;120.0
21;58.1759;58.5;120.0
22;51.11835;50.0;120.0
23;44.20322;43.01;120.0
