Hour;PUN;PZ;INC
0;64.85;64.85;120.0
1;61.61362;61.65;120.0
2;60.93;60.93;120.0
3;62.39969;62.48;120.0
4;61.8795;61.93;120.0
5;63.17491;63.3;120.0
6;69.01858;69.0;120.0
7;71.17733;70.0;120.0
8;75.90564;75.0;120.0
9;76.0;75.28;120.0
10;75.14117;73.9;120.0
11;72.9;72.9;120.0
12;67.2;67.2;120.0
13;68.8;68.8;120.0
14;74.14408;73.9;120.0
15;76.1677;75.28;120.0
16;84.54026;84.09;120.0
17;94.8355;94.15;120.0
18;78.05913;76.3325;120.0
19;75.85018;73.9;120.0
20;71.99529;70.66;120.0
21;73.89723;73.0;120.0
22;67.92452;67.92452;120.0
23;64.93863;64.93863;120.0
