Hour;PUN;PZ;INC
0;72.05576;70.74;120.0
1;65.64;65.64;120.0
2;64.71;64.71;120.0
3;61.66;61.66;120.0
4;60.87;60.87;120.0
5;60.9;60.9;120.0
6;62.31;62.31;120.0
7;63.51;63.51;120.0
8;66.43793;67.95;120.0
9;65.15475;67.99;120.0
10;65.02;65.02;120.0
11;65.04;65.04;120.0
12;67.0;67.0;120.0
13;62.51;62.51;120.0
14;63.97;63.97;120.0
15;63.86365;66.41;120.0
16;69.49062;73.9;120.0
17;78.09064;92.53;120.0
18;76.24905;75.0;120.0
19;76.52234;75.28;120.0
20;76.59166;75.31;120.0
21;75.52798;74.17;120.0
22;67.50625;65.64;120.0
23;64.18327;62.46;120.0
