Hour;PUN;PZ;INC
0;73.9;73.9;120.0
1;71.98;71.98;120.0
2;66.88;66.88;120.0
3;65.56;65.56;120.0
4;64.85;64.85;120.0
5;65.64;65.64;120.0
6;66.52;66.52;120.0
7;75.0;75.0;120.0
8;76.05539;75.0;120.0
9;75.03081;73.9;120.0
10;69.54404;68.05431;120.0
11;67.79584;66.5;120.0
12;66.24393;64.76825;120.0
13;64.63918;63.01439;120.0
14;64.79958;62.81942;120.0
15;66.96591;65.04;120.0
16;69.81037;68.09087;120.0
17;76.19054;74.0;120.0
18;76.11081;73.9;120.0
19;73.35589;70.91;120.0
20;70.98804;68.29;120.0
21;67.16885;65.14;120.0
22;65.27385;63.14;120.0
23;62.27219;60.05;120.0
