Hour;PUN;PZ;INC
0;47.48204;52.02;120.0
1;44.47;44.47;120.0
2;42.12;42.12;120.0
3;39.75;39.75;120.0
4;40.31578;41.5;120.0
5;47.60684;52.02;120.0
6;52.7149;57.07;120.0
7;66.56544;68.41;120.0
8;75.5221;77.31;120.0
9;75.41012;74.63;120.0
10;69.85941;68.98;120.0
11;65.68305;64.72;120.0
12;59.81666;59.75;120.0
13;56.79;56.79;120.0
14;59.95;59.95;120.0
15;60.68;60.68;120.0
16;61.19454;59.95;120.0
17;61.60621;59.95;120.0
18;62.17757;59.95;120.0
19;68.06262;73.5;120.0
20;69.18438;78.85;120.0
21;70.05812;77.31;120.0
22;56.47425;65.51;120.0
23;50.44002;51.02;120.0
