Hour;PUN;PZ;INC
0;60.5366;61.1;120.0
1;57.21582;58.33;120.0
2;55.54982;56.61;120.0
3;50.94653;51.67;120.0
4;51.2298;51.96661;120.0
5;55.23275;56.19;120.0
6;69.51605;66.97;120.0
7;81.53477;67.01;120.0
8;89.66234;66.25;120.0
9;88.91229;65.99;120.0
10;84.1815;63.25;120.0
11;84.59263;61.0;120.0
12;77.94396;60.99;120.0
13;77.40752;60.87;120.0
14;78.16188;60.99;120.0
15;79.15607;61.99;120.0
16;79.98651;64.0;120.0
17;90.50073;73.99;120.0
18;86.37358;73.9;120.0
19;79.84525;73.9;120.0
20;69.87239;66.99;120.0
21;65.3605;61.99;120.0
22;62.09895;59.87;120.0
23;57.55981;55.13;120.0
