Hour;PUN;PZ;INC
0;55.28671;53.9;120.0
1;51.84;51.84;120.0
2;45.90174;39.85;120.0
3;43.50308;39.57;120.0
4;45.29858;44.22;120.0
5;50.0435;50.0435;120.0
6;63.73556;60.0;120.0
7;68.81943;68.81511;120.0
8;69.0;69.0;120.0
9;67.6918;69.0;120.0
10;64.87654;63.3;120.0
11;64.08535;61.0;120.0
12;62.56443;61.86;120.0
13;62.66586;60.87;120.0
14;65.37087;63.3;120.0
15;70.32867;69.15;120.0
16;71.69298;69.75;120.0
17;77.0135;75.28;120.0
18;78.40864;75.28;120.0
19;79.73099;72.47411;120.0
20;72.88125;69.22;120.0
21;68.66929;66.23;120.0
22;64.85229;63.04868;120.0
23;61.09971;59.11;120.0
