Hour;PUN;PZ;INC
0;52.1233;51.51;120.0
1;39.56089;27.01;120.0
2;35.34;19.92991;120.0
3;34.38294;19.9;120.0
4;38.56257;30.0;120.0
5;49.08222;48.51;120.0
6;66.25788;59.87;120.0
7;75.8278;66.37;120.0
8;83.66227;80.0;120.0
9;81.84964;78.0;120.0
10;79.56658;72.0;120.0
11;81.03537;63.3;120.0
12;75.92762;63.3;120.0
13;80.30448;63.3;120.0
14;84.86797;63.3;120.0
15;91.1998;95.0;120.0
16;91.32085;67.42;120.0
17;101.85028;105.02;120.0
18;92.43276;94.05;120.0
19;84.64876;85.0;120.0
20;76.94324;76.0;120.0
21;73.65442;72.0;120.0
22;69.91752;66.35;120.0
23;65.98362;63.35;120.0
